Linear Regression,Non-Linear Regression 1,Non-Linear Regression 2
-3010.3565943236817,-3243.1154251098633,-4016.5772582335167
-3182.67570594875,-3480.989456176758,-4224.246539955631
-4003.6498572499468,-4312.419891357422,-5027.669349004546
-3633.6432199142178,-3955.6503295898438,-4635.311389096414
-3332.7033782290446,-3714.5347595214844,-4226.965475965039
-3416.8153238973937,-3786.4465713500977,-4283.108834778188
-3378.279933246218,-3794.6434020996094,-4228.549508565928
-3102.5555962331714,-3446.6915130615234,-3953.177065534787
-2477.753222813733,-2692.7261352539062,-3286.0130376382776
-2704.6608590004016,-2864.198684692383,-3546.2612844941086
-2432.0537167701564,-2518.7759399414062,-3252.289674806742
-1941.8744161467584,-1780.777931213379,-2766.6513864320264
-1410.3978516350244,-1067.4304962158203,-2205.1780860657527
-1544.7321424915724,-1378.4723281860352,-2127.687415886684
-1907.270083118144,-1421.5879440307617,-2488.7119022458187
-1784.7173484580685,-1311.427116394043,-2306.239534502042
-2024.660471193953,-1526.5016555786133,-2593.700950150815
-2101.617411889441,-1528.1925201416016,-2829.6623887135543
-2659.975712784838,-2127.3679733276367,-3386.0558044167324
-2456.7009487186338,-1911.0116958618164,-3241.858278438186
-2250.2636169204684,-1636.3821029663086,-3143.0111811295187
-2409.2164403436277,-1767.1966552734375,-3327.1249366348416
-2606.368099769268,-1960.0439071655273,-3540.52178579578
-2649.29716727838,-1998.373031616211,-3603.4633643233683
-2637.8862741400626,-2031.4464569091797,-3564.362298327384
-2151.1089183716917,-1521.7037200927734,-3081.420048320124
-2151.0550038041524,-1499.6681213378906,-3116.882673438652
-2302.9253898619486,-1687.4771118164062,-3220.786945832031
-2132.2895797368064,-1512.6657485961914,-2994.9486525456314
-2354.6827013906614,-1807.525634765625,-3272.294122107121
-1640.158924707995,-1126.882553100586,-2521.6617542329254
-1332.3055342262128,-896.1811065673828,-2215.742562216353
-926.1893012796068,-629.8685073852539,-1917.8593146117914
-676.9340985848876,-433.8655471801758,-1680.0393433747888
-719.0994794650154,-508.53538513183594,-1753.0026205740464
-204.1541171382922,-113.62838745117188,-1268.4675087211863
-387.75685214240605,-280.9724807739258,-1606.0534412915813
-391.71520279002226,-253.13186645507812,-1564.7560532873297
-898.8730656901746,-665.5769348144531,-2112.320338446145
-1085.6611443956585,-833.2357406616211,-2264.786745931841
-851.396740290926,-559.7620010375977,-1995.878162218702
-938.4174600800029,-588.9101028442383,-2004.8418864731677
-937.6455802939358,-564.8946762084961,-1965.9155927546037
-874.7215950196412,-530.2877426147461,-1913.2851629188347
-697.918286170956,-447.13783264160156,-1764.7706284213323
-901.5998964944821,-528.717041015625,-1925.0004169560455
-1234.1029658056575,-910.5434417724609,-2296.970066722178
-1175.0755068304122,-891.3402557373047,-2198.259589412773
-2534.0225700565434,-2742.3620223999023,-3606.0376519510896
-2426.4548024431456,-2575.4127502441406,-3500.3475550688695
-2466.6844417780376,-2637.8402709960938,-3506.922004513638
-2669.224626626282,-2859.532356262207,-3678.5498407995988
-2646.161939618546,-2832.86190032959,-3663.4611065909103
-3014.327706525114,-3408.571243286133,-4057.7336317168197
-2817.259359050876,-3181.8037033081055,-3893.740404178278
-2848.512597720223,-3291.32080078125,-3998.477740734745
-3066.6172135229012,-3574.7337341308594,-4221.525733379872
-3006.8546542834415,-3508.0461502075195,-4161.875361786581
-2423.0733554803837,-2590.5303955078125,-3544.989602922778
-2734.4031829889504,-3054.1248321533203,-3872.597274909004
-2158.277396425521,-2162.6529693603516,-3266.0093965468186
-1729.7219982930899,-1526.026725769043,-2799.1388593256747
-1430.7219524894915,-1133.8176727294922,-2484.7163158378976
-1633.996878089252,-1378.9358139038086,-2619.6113847570405
-1302.1375454139004,-920.039176940918,-2265.974898388802
-1591.0242642873422,-1278.3193588256836,-2553.0689733939
-1640.127866013133,-1363.0056381225586,-2621.12286220851
-1580.7212153038222,-1286.484718322754,-2549.3906370198506
-1559.915636749426,-1244.5192337036133,-2525.141433972721
-1122.0670339593123,-707.3478698730469,-2057.0730349737373
-914.5289489964987,-510.32352447509766,-1857.9071778132957
-1225.4828230954931,-852.107048034668,-2215.4919265377825
-686.4529904168144,-349.5140075683594,-1655.1037431289378
-1393.2179482814065,-1119.6670532226562,-2347.2383562769573
-1115.1453493082015,-745.3851699829102,-2085.631511579985
-2000.3902610952805,-1865.412712097168,-2993.814770689209
-2571.3210518107235,-2670.450210571289,-3601.909688863723
-2479.12082592939,-2591.8779373168945,-3543.3439229809305
-2929.972358081018,-3198.6751556396484,-4011.547484621035
-2660.033068115103,-3002.0227432250977,-3766.6756921935325
-3196.538006817736,-3584.2580795288086,-4324.950082710634
-2772.564476503452,-2999.911308288574,-3850.081321007391
-2623.767286450696,-2758.7013244628906,-3679.564469361353
-2381.0256543298156,-2389.0485763549805,-3396.138365864184
-2501.110168426563,-2558.0005645751953,-3504.091977674609
-2563.9918255667108,-2670.687675476074,-3603.375401095577
-2891.9485998332557,-3182.765007019043,-3967.335544129351
-2116.9856889698017,-2293.330192565918,-3168.956967503764
-2396.639208577038,-2736.7401123046875,-3426.9436538199034
-2222.041370725163,-2624.4163513183594,-3218.205876220702
-1953.8000539601646,-2283.963203430176,-2900.7789848233356
-2006.4052674160828,-2402.303695678711,-2968.542167593856
-2288.8106291873596,-2924.014091491699,-3305.81633117748
-2642.0728029032534,-3561.4242553710938,-3662.150313663661
-2712.967879870022,-3700.432777404785,-3744.603942450322
-2360.202455157955,-3075.267791748047,-3411.7526575222805
-2377.701797640938,-3035.402297973633,-3422.4857992970087
-2337.9492340382185,-3053.990364074707,-3410.3157668264926
-2294.3801540417826,-2866.11270904541,-3241.2838192573045
-2274.273667680443,-2746.856689453125,-3146.8053885411796
-2217.4559635519554,-2513.9551162719727,-3021.0025123633004
-2245.0621755891934,-2489.985466003418,-3026.133376039589
-2088.4502991355125,-2263.263702392578,-2878.397816736078
-1638.0331322124161,-1545.5331802368164,-2401.6058958121816
-1388.4331236938522,-1193.650245666504,-2158.314835762519
-1198.620876279691,-853.1427383422852,-1944.0252634269448
-1028.2962211303707,-634.9668502807617,-1816.2419050846422
-1264.1099241855566,-872.0827102661133,-1971.5366811634733
-1126.017291248051,-794.5804595947266,-1857.4089110200914
-1045.451783699454,-725.6841659545898,-1841.1609510857004
-923.4886191236781,-603.0521392822266,-1740.7859185578038
-804.6941133035039,-417.6807403564453,-1554.1739294259735
-753.440688742253,-336.48204803466797,-1504.9187167405075
-864.9384977587597,-247.3583221435547,-1555.8465263996409
-740.3146513256826,-295.0887680053711,-1466.180001451631
-641.8128701673274,-204.23412322998047,-1316.2532174456917
-588.0134215639823,-59.998512268066406,-1241.9957897247236
-886.0921070667412,-236.5264892578125,-1533.8693189132935
-855.6955385018143,-271.67701721191406,-1479.174793139414
-650.8668394820637,-146.17252349853516,-1272.1759874990873
-495.04043195858446,-96.36783599853516,-1109.5618169974616
-541.9186556835857,-51.03778839111328,-1198.5473962019703
-836.580682363953,-351.3021469116211,-1491.3702266812609
-863.3454639814281,-388.4468078613281,-1364.1896814075103
-1120.321328346729,-616.5590286254883,-1602.801644291048
-1374.7245503708705,-824.8672485351562,-1866.6512166177738
-1046.5963531081645,-552.9098510742188,-1501.5715017169648
-970.1448411121685,-482.68604278564453,-1477.8380479008267
-386.12030261970057,-123.36444854736328,-1000.6007516006324
-276.25276842835797,-126.86920166015625,-938.6492793008134
-229.7101080675649,-122.07698822021484,-952.7055547946817
-250.18573704419774,-170.8059310913086,-1112.5931489869238
-151.19327168197432,-164.64900970458984,-1022.1408661248212
-400.5356200938101,-177.2003173828125,-1283.9166132764187
-398.9661289803465,-293.9443588256836,-1415.4778447435108
-303.89917552139536,-188.50421905517578,-1231.7749584839694
-498.3779951789642,-367.56134033203125,-1537.0849241591754
-290.1646111769699,-289.1378402709961,-1364.5331635407006
-127.79128655838738,-230.85594177246094,-1226.4701024598844
-686.8684126525084,-739.0937805175781,-1888.5134503534905
-851.7566012827998,-1002.9430389404297,-2119.5472199540895
-1040.3745175886202,-1229.0096282958984,-2309.504082090483
-1108.7406454219765,-1337.7971649169922,-2420.727557456338
-1030.301673648285,-1282.4878692626953,-2345.9510676924347
-1057.891766978472,-1314.0134811401367,-2362.2535915086137
-1001.3998191340819,-1153.3842086791992,-2295.1988307724255
-2159.622754136844,-2794.020652770996,-3399.0201855704213
